tournum,tourtype,tot_shifts,tot_periods,startwin,tot_hours,tot_ftes,Su-1,Mo-1,Tu-1,We-1,Th-1,Fr-1,Sa-1,Su-2,Mo-2,Tu-2,We-2,Th-2,Fr-2,Sa-2,Su-3,Mo-3,Tu-3,We-3,Th-3,Fr-3,Sa-3,Su-4,Mo-4,Tu-4,We-4,Th-4,Fr-4,Sa-4
1,1,20,320,11,160.0,1.0,x,0500-1300,0500-1300,0600-1400,0530-1330,0600-1400,x,x,0530-1330,0530-1330,0530-1330,0530-1330,0600-1400,x,x,0530-1330,0530-1330,0600-1400,0500-1300,0600-1400,x,x,0600-1400,0500-1300,0530-1330,0530-1330,0530-1330,x
2,2,8,128,11,64.0,0.4,0600-1400,x,x,x,x,0600-1400,x,x,x,x,x,0600-1400,0600-1400,x,0500-1300,x,0500-1300,x,x,x,x,x,x,x,x,0600-1400,x,0600-1400
3,1,20,320,12,160.0,1.0,x,0530-1330,0600-1400,0630-1430,0600-1400,0630-1430,x,x,0530-1330,0600-1400,0600-1400,0630-1430,0530-1330,x,x,0530-1330,0630-1430,0630-1430,0600-1400,0600-1400,x,x,0530-1330,0630-1430,0530-1330,0600-1400,0600-1400,x
4,1,20,320,14,160.0,1.0,x,0700-1500,0730-1530,0700-1500,0630-1430,0700-1500,x,x,0630-1430,0700-1500,0700-1500,0630-1430,0700-1500,x,x,0630-1430,0730-1530,0730-1530,0730-1530,0630-1430,x,x,0700-1500,0700-1500,0730-1530,0730-1530,0700-1500,x
5,1,20,320,14,160.0,1.0,x,0630-1430,0630-1430,0700-1500,0730-1530,0700-1500,x,x,0730-1530,0630-1430,0730-1530,0730-1530,0730-1530,x,x,0700-1500,0630-1430,0700-1500,0730-1530,0630-1430,x,x,0730-1530,0700-1500,0630-1430,0730-1530,0630-1430,x
6,1,20,320,14,160.0,1.0,x,0730-1530,0730-1530,0630-1430,0700-1500,0700-1500,x,x,0730-1530,0730-1530,0730-1530,0730-1530,0630-1430,x,x,0700-1500,0700-1500,0700-1500,0630-1430,0630-1430,x,x,0730-1530,0630-1430,0630-1430,0700-1500,0730-1530,x
7,1,20,320,15,160.0,1.0,x,0700-1500,0730-1530,0730-1530,0700-1500,0730-1530,x,x,0700-1500,0700-1500,0730-1530,0800-1600,0730-1530,x,x,0700-1500,0730-1530,0700-1500,0800-1600,0730-1530,x,x,0800-1600,0700-1500,0800-1600,0730-1530,0800-1600,x
8,1,20,320,15,160.0,1.0,x,0730-1530,0700-1500,0700-1500,0800-1600,0700-1500,x,x,0730-1530,0800-1600,0700-1500,0800-1600,0700-1500,x,x,0700-1500,0700-1500,0800-1600,0800-1600,0800-1600,x,x,0700-1500,0730-1530,0800-1600,0800-1600,0730-1530,x
9,2,8,128,17,64.0,0.4,x,x,0830-1630,0900-1700,x,x,x,x,x,x,x,0900-1700,0830-1630,x,x,x,x,0900-1700,x,0800-1600,x,x,0800-1600,x,x,x,0900-1700,x
10,2,8,128,17,64.0,0.4,0830-1630,0830-1630,x,x,x,x,x,x,0800-1600,x,x,0900-1700,x,x,0800-1600,x,x,x,0830-1630,x,x,x,x,0900-1700,x,x,x,0900-1700
11,2,8,128,17,64.0,0.4,x,0830-1630,x,0900-1700,x,x,x,x,0900-1700,x,x,0830-1630,x,x,x,x,x,0900-1700,0800-1600,x,x,x,0800-1600,x,0800-1600,x,x,x
12,1,20,320,18,160.0,1.0,x,0900-1700,0900-1700,0830-1630,0830-1630,0930-1730,x,x,0900-1700,0830-1630,0930-1730,0900-1700,0900-1700,x,x,0930-1730,0900-1700,0900-1700,0930-1730,0930-1730,x,x,0930-1730,0930-1730,0930-1730,0900-1700,0900-1700,x
