tournum,tourtype,tot_shifts,tot_periods,startwin,tot_hours,tot_ftes,Su-1,Mo-1,Tu-1,We-1,Th-1,Fr-1,Sa-1,Su-2,Mo-2,Tu-2,We-2,Th-2,Fr-2,Sa-2,Su-3,Mo-3,Tu-3,We-3,Th-3,Fr-3,Sa-3,Su-4,Mo-4,Tu-4,We-4,Th-4,Fr-4,Sa-4
1,1,20,320,11,160.0,1.0,x,0500-1300,0500-1300,0500-1300,0500-1300,0500-1300,x,0500-1300,0500-1300,0500-1300,0500-1300,0500-1300,x,x,x,0500-1300,0500-1300,0500-1300,0500-1300,0500-1300,x,0500-1300,0500-1300,0500-1300,0500-1300,0500-1300,x,x
2,1,20,320,13,160.0,1.0,x,0600-1400,0600-1400,0600-1400,0600-1400,x,0600-1400,x,0600-1400,0600-1400,0600-1400,0600-1400,0600-1400,x,x,0600-1400,0600-1400,0600-1400,0600-1400,0600-1400,x,0600-1400,x,0600-1400,0600-1400,0600-1400,0600-1400,x
3,1,20,320,14,160.0,1.0,x,0630-1430,0630-1430,0630-1430,0630-1430,0630-1430,x,x,0630-1430,0630-1430,0630-1430,0630-1430,0630-1430,x,x,0630-1430,0630-1430,0630-1430,0630-1430,0630-1430,x,x,x,0630-1430,0630-1430,0630-1430,0630-1430,0630-1430
4,1,20,320,14,160.0,1.0,x,0630-1430,0630-1430,0630-1430,0630-1430,0630-1430,x,x,0630-1430,0630-1430,0630-1430,0630-1430,0630-1430,x,x,0630-1430,0630-1430,0630-1430,0630-1430,0630-1430,x,x,0630-1430,0630-1430,0630-1430,0630-1430,x,0630-1430
5,1,20,320,14,160.0,1.0,x,0630-1430,0630-1430,0630-1430,0630-1430,0630-1430,x,x,0630-1430,0630-1430,0630-1430,0630-1430,0630-1430,x,x,0630-1430,0630-1430,0630-1430,0630-1430,0630-1430,x,0630-1430,0630-1430,0630-1430,x,0630-1430,0630-1430,x
6,1,20,320,14,160.0,1.0,x,0630-1430,0630-1430,0630-1430,0630-1430,0630-1430,x,0630-1430,0630-1430,0630-1430,0630-1430,0630-1430,x,x,x,0630-1430,0630-1430,0630-1430,0630-1430,0630-1430,x,0630-1430,x,0630-1430,0630-1430,0630-1430,0630-1430,x
7,1,20,320,16,160.0,1.0,x,0730-1530,0730-1530,0730-1530,0730-1530,0730-1530,x,x,0730-1530,0730-1530,0730-1530,0730-1530,0730-1530,x,x,0730-1530,0730-1530,0730-1530,0730-1530,0730-1530,x,x,0730-1530,0730-1530,x,0730-1530,0730-1530,0730-1530
8,1,20,320,17,160.0,1.0,x,0800-1600,0800-1600,0800-1600,0800-1600,0800-1600,x,x,0800-1600,0800-1600,0800-1600,0800-1600,0800-1600,x,x,0800-1600,0800-1600,0800-1600,0800-1600,0800-1600,x,0800-1600,0800-1600,0800-1600,0800-1600,x,0800-1600,x
9,1,20,320,17,160.0,1.0,x,0800-1600,0800-1600,0800-1600,0800-1600,0800-1600,x,x,0800-1600,0800-1600,0800-1600,0800-1600,0800-1600,x,x,0800-1600,0800-1600,0800-1600,0800-1600,0800-1600,x,x,x,0800-1600,0800-1600,0800-1600,0800-1600,0800-1600
10,1,20,320,17,160.0,1.0,x,0800-1600,0800-1600,0800-1600,0800-1600,0800-1600,x,x,x,0800-1600,0800-1600,0800-1600,0800-1600,0800-1600,0800-1600,x,0800-1600,0800-1600,0800-1600,0800-1600,x,x,0800-1600,0800-1600,0800-1600,0800-1600,0800-1600,x
11,1,20,320,18,160.0,1.0,x,0830-1630,0830-1630,0830-1630,0830-1630,0830-1630,x,x,0830-1630,0830-1630,0830-1630,0830-1630,0830-1630,x,x,0830-1630,0830-1630,0830-1630,0830-1630,0830-1630,x,x,0830-1630,0830-1630,0830-1630,0830-1630,0830-1630,x
12,1,20,320,18,160.0,1.0,x,0830-1630,0830-1630,0830-1630,0830-1630,0830-1630,x,x,0830-1630,0830-1630,0830-1630,0830-1630,0830-1630,x,x,0830-1630,0830-1630,0830-1630,0830-1630,0830-1630,x,x,0830-1630,0830-1630,0830-1630,x,0830-1630,0830-1630
